id,read.number,Numeric.Animal.ID,Capture.Week,Capture.Number,age.month.corrected,age.years,Sex,Average.BCS,Season,percent.cells.infected,Tvelifera.sc,TveliferaB,TveliferaUD,Tmutans1,Tmutans2,Tmutans3,TmutansMSD,Tmutans.sc,TmutansUD,TspBg,TspBf,Tparva
109c3,136376,109,6/6/14,3,8,0.72,F,3.25,dry,0.02010101,0.0882707,0.601469,0,0.0337009,0,0,0.0661407,0.0756145,0,0.0131255,0,0.121678
109c4,142574,109,8/13/14,4,10,0.84,F,2.75,dry,0.042163923,0.104311,0.42937,0,0.0710158,0.0228653,0.0159566,0.0559289,0.0802811,0,0.0960343,0,0.1242371
109c5,123414,109,10/14/14,5,12,1.01,F,1.5,dry,0.179607251,0.192134,0.2958656,0,0.145648,0,0.0351338,0,0.03673,0,0.16029,0,0.1341986
109c6,50009,109,12/6/15,6,14,1.15,F,1.25,wet,1.09134131,0.302406,0.3284411,0,0.174869,0,0.0488312,0,0.0233558,0,0.0475914,0,0.0745066
110c1,111046,110,2/25/14,1,11,0.9,M,4,wet,0.071185446,0.0825514,0.652153,0,0,0.0158673,0,0.0593447,0.190083,0,0,0,0
110c3,33264,110,6/6/14,3,14,1.25,M,3.25,dry,0.040807607,0.36042,0.457943,0,0,0,0,0.0531205,0.0726311,0,0,0,0.0558862
110c4,56661,110,8/13/14,4,16,1.37,M,2,dry,0.101912313,0.269056,0.2672564,0,0,0,0,0.1632516,0.176718,0,0,0,0.1237182
111c4,49049,111,8/13/14,4,8,0.68,F,3,dry,0.063736429,0.176925,0.350976,0,0.0340272,0.0166976,0,0.0572693,0.0938857,0,0.141247,0,0.1289735
111c5,69869,111,10/14/14,5,10,0.85,F,1.5,dry,0.06853352,0.264767,0.2461892,0,0.107702,0.0232149,0.0446407,0.0423364,0.0456139,0,0.172537,0,0.0529992
111c6,46060,111,12/6/15,6,12,0.99,F,2,wet,0.289297521,0.22386,0.2383635,0,0.1637,0.0263135,0.0846287,0.020343,0.0350195,0,0.150174,0,0.0575988
111c7,59518,111,2/23/15,7,15,1.22,F,3.5,wet,0.285344424,0.136614,0.1681004,0,0.160876,0.0457845,0.1641017,0,0.0225646,0,0.2091137,0,0.0928459
111c8,75153,111,6/2/14,8,18,1.484352138,F,3,dry,0.075993621,0.12597,0.147393,0,0.167512,0.0438306,0.1732067,0.0162469,0.0291006,0,0.2533103,0,0.0434314
111c9,54880,111,8/4/15,9,20,1.656954878,F,2.5,dry,0.706419598,0.129701,0.1509107,0,0.143878,0.0370627,0.1103134,0,0.0343112,0,0.2847849,0,0.109038
111c10,25978,111,10/5/15,10,22,1.829557617,F,2.375,dry,0.010152838,0.158326,0.1535531,0,0.134075,0.0270229,0.0956193,0,0,0,0.2868198,0,0.144584
111c11,58550,111,12/1/15,11,24,1.982982275,F,2.75,wet,0.031780443,0.0867293,0.0941417,0,0.177096,0.0355594,0.1583945,0,0.0166866,0,0.274415,0,0.156977
112c3,51559,112,6/6/14,3,9,0.76,F,3,dry,0.065718822,0.238503,0.49101,0,0,0,0,0.0721115,0.0940088,0,0.0521344,0,0.0522314
112c4,66236,112,8/13/14,4,11,0.88,F,3,dry,0.106529605,0.148907,0.367776,0,0,0.0131952,0,0.0270095,0.0720756,0.0128782,0.315855,0,0.0423033
112c5,104114,112,10/14/14,5,13,1.05,F,2,dry,0.051314975,0.17769,0.2006356,0,0.013831,0.0218895,0.0373725,0.0139366,0.0998521,0.0133027,0.361949,0,0.0595406
112c6,40209,112,12/6/15,6,15,1.19,F,1.5,wet,0.257014266,0.153125,0.2425573,0,0.0375289,0.0342212,0.0446666,0.0132557,0.0624736,0,0.348032,0,0.0641399
112c7,33709,112,2/23/15,7,18,1.42,F,2.75,wet,0.389620288,0.0809576,0.0594797,0,0.213682,0.1105343,0.1581476,0,0.0266694,0,0.310629,0,0.0399003
